"_id","addressOne","addressTwo","assessedValue","attomAssessedTotalValue","attomBasmentPrecentageFinished","attomBasmentSize","attomBathTotal","attomBathsFull","attomBathsPartial","attomBeds","attomBuildingSize","attomConstructionCondition","attomConstructionType","attomEstimateFDS","attomEstimateHighValue","attomEstimateLowValue","attomEstimateScore","attomEstimateValue","attomEstimatedRentalValue","attomEventEstimationDate","attomFloorsType","attomFrameType","attomGrossSize","attomID","attomImprValue","attomLatitude","attomLivingSize","attomLongitude","attomLotNumber","attomLotSizeSqft","attomLotType","attomMarketLandValue","attomParkingSize","attomParkingSpaces","attomPropClass","attomPropLandUse","attomPropType","attomPropertyStructureMajorImprovementsYear","attomTaxAmount","attomTaxCodeArea","attomTaxYear","attomTotalValue","attomUniversalSize","attomWallType","attomYearBuilt","auctionDate","auctionStatus","auctionType","caseNumber","country","countyName","countyURL","finalAmount","finalJudgmentAmount","getAttomEstimatedMaxRentalValue","getAttomEstimatedMinRentalValue","parcelID","plaintiffMaxBid","propertyAddress","soldTo","zillowFullURL","zillowRentEstimation","zillowSaleEstimation"
"641f85b7e0e6da2a27cf5c52","55 NW 204th St Miami Gardens"," FL, 33169 - Apartments for Rent","$65,211.00","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0.0","0","0","0","0.0","0","0","0.0","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0","0.0","0","0","0","0.0","0","0","03/06/2023 11:27 AM ET","Auction Sold","FORECLOSURE","2022-004792-CA-01","Florida","Miami","https://www.miamidade.realforeclose.com/index.cfm","$86,300.00","$112,786.40","0.0","0.0","34-1136-007-0180","Hidden","55 NW 204 ST 20 55 NW 204 ST 20 MIAMI GARDENS, FL- 33169","3rd Party Bidder","https://www.zillow.com/b/25.963013,-80.202705_ll/","0","0"
"641f85c2e0e6da2a27cf5c68","2166 W 60th St APT 15207"," Hialeah, FL 33016","$43,103.00","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0.0","0","0","0","0.0","0","0","0.0","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0","0.0","0","0","0","0.0","0","0","03/06/2023 11:32 AM ET","Auction Sold","FORECLOSURE","2022-005645-CA-01","Florida","Miami","https://www.miamidade.realforeclose.com/index.cfm","$145,900.00","$72,689.89","0.0","0.0","04-2034-102-1030","Hidden","2166 W 60 ST 15207 2166 W 60 ST 15207 HIALEAH, FL- 33016","3rd Party Bidder","https://www.zillow.com/homedetails/2166-W-60th-St-APT-15207-Hialeah-FL-33016/43935180_zpid/","0","0"
"641f85e4e0e6da2a27cf5c9e","645 NW 133rd Ct"," Miami, FL 33182","$182,311.00","182311","0","0.0","2.0","2.0","0.0","3.0","1696.0","0","CONCRETE","1","464600","455400","99","460000","2782.0","0","VINYL/RESILIENT","CONCRETE","2086.0","2595590","0","25.77345","1696.0","-80.411632","0","5262.0","0","0","0.0","0.0","Single Family Residence / Townhouse","SFR","SFR","0","0.0","3000","2970","0","1696.0","CONCRETE BLOCK","1991","03/07/2023 09:11 AM ET","Auction Sold","FORECLOSURE","2016-015943-CA-01","Florida","Miami","https://www.miamidade.realforeclose.com/index.cfm","$465,100.00","$586,710.48","0.0","0.0","30-3952-013-0830","$421,700.00","645 NW 133 CT 645 NW 133 CT MIAMI, FL- 33182","3rd Party Bidder","https://www.zillow.com/homedetails/645-NW-133rd-Ct-Miami-FL-33182/44165292_zpid/","0","0"
"641f85efe0e6da2a27cf5cb7","3541 NW 176th St"," Miami Gardens, FL 33056","$235,666.00","280025","0","0.0","1.0","1.0","0.0","3.0","1369.0","0","CONCRETE","4","478162","441381","96","459772","3066.0","0","VINYL/RESILIENT","CONCRETE","1588.0","151262765","0","25.934041","1369.0","-80.260055","0","8250.0","0","0","0.0","0.0","Single Family Residence / Townhouse","SFR","SFR","1968","0.0","3400","6294","0","1369.0","CONCRETE BLOCK","1957","03/07/2023 09:13 AM ET","Auction Sold","FORECLOSURE","2018-022262-CA-01","Florida","Miami","https://www.miamidade.realforeclose.com/index.cfm","$341,100.00","$349,709.66","0.0","0.0","34-2109-009-2430","Hidden","3541 NW 176 ST 3541 NW 176 ST MIAMI GARDENS, FL- 33056","3rd Party Bidder","https://www.zillow.com/homedetails/3541-NW-176th-St-Miami-Gardens-FL-33056/44105811_zpid/","0","0"
"641f85f9e0e6da2a27cf5ccf","1228 West Ave APT 712"," Miami Beach, FL 33139","$221,654.00","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0.0","0","0","0","0.0","0","0","0.0","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0","0.0","0","0","0","0.0","0","0","03/07/2023 09:19 AM ET","Auction Sold","FORECLOSURE","2020-004135-CA-01","Florida","Miami","https://www.miamidade.realforeclose.com/index.cfm","$293,100.00","$263,337.79","0.0","0.0","02-3233-039-0870","$223,309.61","1228 WEST AVE 712 1228 WEST AVE 712 MIAMI BEACH, FL- 33139","3rd Party Bidder","https://www.zillow.com/homedetails/1228-West-Ave-APT-712-Miami-Beach-FL-33139/43896203_zpid/","0","0"
"641f860ae0e6da2a27cf5cf4","20405 NW 37th Ct"," Miami Gardens, FL 33055","$217,686.00","305150","0","0.0","1.0","1.0","0.0","3.0","1200.0","0","CONCRETE","2","411396","395263","98","403330","2690.0","0","VINYL/RESILIENT","CONCRETE","1524.0","5126340","0","25.959554","1200.0","-80.262439","0","14153.0","0","0","0.0","0.0","Single Family Residence / Townhouse","SFR","SFR","0","0.0","3400","6135","0","1200.0","CONCRETE BLOCK","1974","03/07/2023 09:29 AM ET","Auction Sold","FORECLOSURE","2020-026663-CA-01","Florida","Miami","https://www.miamidade.realforeclose.com/index.cfm","$370,000.00","$331,468.93","0.0","0.0","34-1132-015-0260","Hidden","20405 NW 37 CT 20405 NW 37 CT MIAMI GARDENS, FL- 33055","3rd Party Bidder","https://www.zillow.com/homes/20405%20NW%2037%20CT%2020405%20NW%2037%20CT%20MIAMI%20GARDENS,%20FL-%2033055/","0","0"
"641f8615e0e6da2a27cf5d11","4473 NW 207th Dr"," Miami Gardens, FL 33055","$228,071.00","261541","0","0.0","2.0","1.0","1.0","3.0","1104.0","0","CONCRETE","5","497612","450221","95","473917","3325.0","0","VINYL/RESILIENT","CONCRETE","1304.0","17856647","0","25.962966","1104.0","-80.27586","0","9375.0","0","0","0.0","0.0","Single Family Residence / Townhouse","SFR","SFR","0","0.0","3400","6035","0","1104.0","CONCRETE BLOCK","1971","03/07/2023 09:32 AM ET","Auction Sold","FORECLOSURE","2022-000895-CA-01","Florida","Miami","https://www.miamidade.realforeclose.com/index.cfm","$333,300.00","$250,538.54","0.0","0.0","34-1132-004-3140","Hidden","4473 NW 207 DR 4473 NW 207 DR MIAMI GARDENS, FL- 33055","3rd Party Bidder","https://www.zillow.com/homes/4473%20NW%20207%20DR%204473%20NW%20207%20DR%20MIAMI%20GARDENS,%20FL-%2033055/","0","0"
"641f8621e0e6da2a27cf5d30","2354 NW 85th St"," Miami, FL 33147","$193,888.00","279268","0","0.0","1.0","1.0","0.0","3.0","1384.0","0","CONCRETE","4","466876","430963","96","448920","2880.0","0","VINYL/RESILIENT","CONCRETE","1628.0","10504390","0","25.851445","1384.0","-80.237005","0","8366.0","0","0","0.0","0.0","Single Family Residence / Townhouse","SFR","SFR","2006","0.0","3000","4407","0","1384.0","CONCRETE BLOCK","1945","03/07/2023 09:33 AM ET","Auction Sold","FORECLOSURE","2022-002680-CA-01","Florida","Miami","https://www.miamidade.realforeclose.com/index.cfm","$264,000.00","$262,479.01","0.0","0.0","30-3110-008-0070","Hidden","2354 NW 85 ST 2354 NW 85 ST MIAMI, FL- 33147","3rd Party Bidder","https://www.zillow.com/homedetails/2354-NW-85th-St-Miami-FL-33147/44155544_zpid/","0","0"
"641f863ce0e6da2a27cf5d6c","18030 NW 47th Ave"," Opa Locka, FL 33055","$240,544.00","283815","0","0.0","2.0","2.0","0.0","3.0","1092.0","0","CONCRETE","4","508594","469471","96","489033","2957.0","0","VINYL/RESILIENT","CONCRETE","1530.0","147302869","0","25.937728","1092.0","-80.277604","0","8245.0","0","0","0.0","0.0","Single Family Residence / Townhouse","SFR","SFR","1997","0.0","3000","4947","0","1092.0","CONCRETE BLOCK","1958","03/08/2023 09:13 AM ET","Auction Sold","FORECLOSURE","2020-019600-CA-01","Florida","Miami","https://www.miamidade.realforeclose.com/index.cfm","$345,000.00","$317,158.29","0.0","0.0","30-2107-003-2630","$317,158.29","18030 NW 47 AVE 18030 NW 47 AVE MIAMI, FL- 33055","3rd Party Bidder","https://www.zillow.com/homedetails/18030-NW-47th-Ave-Opa-Locka-FL-33055/44101422_zpid/","0","0"
"641f8647e0e6da2a27cf5d8b","1733 SW 151st Pl"," Miami, FL 33185","$503,833.00","619192","0","0.0","3.0","3.0","0.0","4.0","3043.0","0","0","2","887619","852810","98","870215","6441.0","0","0","0","3713.0","24862822","0","25.750623","3043.0","-80.43981","0","5641.0","0","0","294.0","0.0","Single Family Residence / Townhouse","TOWNHOUSE/ROWHOUSE","TOWNHOUSE/ROWHOUSE","0","0.0","3000","10515","0","3043.0","STUCCO","2004","03/08/2023 09:18 AM ET","Auction Sold","FORECLOSURE","2022-009574-CA-01","Florida","Miami","https://www.miamidade.realforeclose.com/index.cfm","$620,100.00","$420,804.91","0.0","0.0","30-4909-007-0380","$425,000.00","1733 SW 151 PL 1733 SW 151 PL MIAMI, FL- 33185","3rd Party Bidder","https://www.zillow.com/homedetails/1733-SW-151st-Pl-Miami-FL-33185/63833225_zpid/","0","0"
